Barkod;Model Kodu;stockID;Name;Price;Stok
ekgıda-tahıllı;ekgıda-tahıllı;ekgıda-tahıllı;Organik Bebek Ek Gıdası Organik 3 Tahıllı Yulaf Pirinç Irmik (PEST_S_T VE AFLATOKS_N ANAL_ZL_);414.9;1925
ekgıda-keçiboynuzlu;ekgıda-keçiboynuzlu;ekgıda-keçiboynuzlu;Organik Bebek Ek Gıdası Yulaflı Keçiboynuzlu Muhallebi (PEST_S_T VE AFLATOKS_N ANAL_ZL_) 350gr;414.9;1966
ekgıda-brokolibalkabak;ekgıda-brokolibalkabak;ekgıda-brokolibalkabak;Organik Bebek Ek Gıdası Brokoli Balkabak Irmik 250gr (PEST_S_T VE AFLATOKS_N ANAL_ZL_);414.9;9832
bol-sebzelı-13;bol-sebzelı-13;bol-sebzelı-13;Organik 10 Sebzeli Tarhana (10 SEBZEL_) (PEST_S_T VE AFLATOKS_N ANAL_ZL_) 200gr;248.0;3430
mercımek2;mercımek2;mercımek2;Organik Kırmızı Mercimek & Ye_il Mercimek 2'li 500gr Mercimek Seti (PEST_S_T VE AFLATOKS_N ANAL_ZL_);499.9;2191
8682125482057;8682125482057;8682125482057;Organik Bey Mor Mix 260gr (PEST_S_T VE A_IR METAL ANAL_ZL_);619.9;12807
8682125482040;8682125482040;8682125482040;Organik Bey Aronya Mix (PEST_S_T VE A_IR METAL ANAL_ZL_) (GERÇEK MEYVE PARÇACIKLI);520.9;1648
sıyez-1;sıyez-1;sıyez-1;Organik Siyez Bu_day Unu 1kg (PEST_S_T VE AFLATOKS_N ANAL_ZL_);240.0;4612
86821254884797;86821254884797;86821254884797;Organik Ni_asta 250gr (PEST_S_T VE AFLATOKS_N ANAL_ZL_);227.9;9412
86821254849454;86821254849454;86821254849454;Organik Tel _ehriye %35 Sebzeli 200gr (PEST_S_T VE AFLATOKS_N ANAL_ZL_);149.0;1788
8682125481835;8682125481835;8682125481835;Organik Sebzeli Boru Makarna %35 Sebzeli 360gr (PEST_S_T VE AFLATOKS_N ANAL_ZL_);198.22;270
bey-kıs-3;bey-kıs-3;bey-kıs-3;Organik Süper 3'lü Kı_ Paketi (BEY ÖZ M_X - BEY TON_K - BEY ATOM) (PEST_S_T VE A_IR METAL ANAL_ZL_);1350.0;5963
8682125481890;8682125481890;8682125481890;Organik Kuskus 500gr (PEST_S_T VE AFLATOKS_N ANAL_ZL_);232.66;4961
8682125481845;8682125481845;8682125481845;Organik Bebek Tarhanası 10 Sebzeli 400gr (PEST_S_T VE AFLATOKS_N ANAL_ZL_);414.9;3834
bebek-ikili;bebek-ikili;bebek-ikili;Organik Sebzeli Makarna Seti 2'li Paket;469.9;6976
8682125481821;8682125481821;8682125481821;ORGAN_K Bey Atom KIDS 260gr (PEST_S_T ve A_IR METAL ANAL_ZL_);619.9;16394
beytonikmix;beytonikmix;beytonikmix;Organik Bey Öz & Bey Tonik 2'li Kı_ Kiti (PEST_S_T VE A_IR METAL ANAL_ZL_);960.9;5767
bey-mix;bey-mix;bey-mix;Organik Bey Öz Mix 260gr (PEST_S_T VE A_IR METAL ANAL_ZL_);619.9;5170
8682125481807;8682125481807;8682125481807;Organik Çilekli Pankek Karı_ımı 200gr (PEST_S_T VE AFLATOKS_N ANAL_ZL_);221.03;16498
8682125481722;8682125481722;8682125481722;Organik Çilekli Bebek Pudingi 200gr (_EKER ILAVES_Z) (PEST_S_T VE AFLATOKS_N ANAL_ZL_);206.89;2430
çilek-muhallebi;çilek-muhallebi;çilek-muhallebi;Organik Çilekli Muhallebi Karı_ımı 200gr (_EKER ILAVES_Z) (PEST_S_T VE AFLATOKS_N ANAL_ZL_);341.0;4249
8682125481777;8682125481777;8682125481777;Organik Köfte Harcı (Sebzeli) 200gr (PEST_S_T VE AFLATOKS_N ANAL_ZL_);227.0;3237
60615061232;ADBEYO60615061232;ADBEYO60615061232;Organik Ek Gıda Seti 4'lü (_RM_K/TARHANA/P_R_NÇ UNU/YULAF UNU) (PEST_S_T VE AFLATOKS_N ANAL_ZL_);924.9;4781
çocukmakarna;TYC00439232916;çocukmakarna;Organik Çocuk Makarna Sebzeli %35 Sebzeli 350gr (pestisit Ve Aflatoksin Analizli;249.9;7851
bey-tambu_dayunu;bey-tambu_dayunu;bey-tambu_dayunu;Organik 2'li Tam Bu_day Unu Paketi 1kg (PEST_S_T VE AFLATOKS_N ANAL_ZL_);420.0;1939
86821254805651;86821254805651;86821254805651;Organik Kakaolu Bebek Pudingi 200gr (PEST_S_T VE AFLATOKS_N ANAL_ZL_) (_eker ilavesiz);249.9;986
tahin-büyük-1;tahin-büyük-1;tahin-büyük-1;ORGAN_K Tahin 600gr  (SALMONELLA ve PEST_S_T ANAL_ZL_);489.9;5241
organikelma-685;organikelma-685;organikelma-685;Organik 2'li Elma Suyu Konsantresi 685gr (PEST_S_T ANAL_ZL_);469.0;6771
andızözü-8;andızözü-8;andızözü-8;Organik Andız Özü 260gr (PEST_S_T VE A_IR METAL ANAL_ZL_);440.0;4846
bey-kozalak-suyu;bey-kozalak-suyu;bey-kozalak-suyu;ORGAN_K Kozalak _urubu 230gr (PEST_S_T ve A_IR METAL ANAL_ZL_);439.9;3029
8682125480664;8682125480664;50;ORGAN_K SADE ER__TE 360GR;248.0;3035
